gene	WT_UN120_r1	WT_UN120_r2	WT_UN120_r3	WT_EM30_r1	WT_EM30_r2	WT_EM30_r3	WT_EM120_r1	WT_EM120_r2	WT_EM120_r3	EDF1_ko_UN120_r1	EDF1_ko_UN120_r2	EDF1_ko_UN120_r3	EDF1_ko_EM30_r1	EDF1_ko_EM30_r2	EDF1_ko_EM30_r3	EDF1_ko_EM120_r1	EDF1_ko_EM120_r2	EDF1_ko_EM120_r3
ENSG00000278674|ELOA3B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.728	0.0	66.211	0.0	6.119	0.0	0.0	0.0	0.0	0.0
ENSG00000274744|ELOA3D	12.142	30.242	19.747	32.872	10.285	30.302	9.55	16.62	0.0	24.134	0.0	13.667	0.0	14.832	17.796	23.158	36.274	6.4510000000000005
ENSG00000206181|ELOA2	3.0	5.0	2.864	5.0	2.0	3.0	7.0	0.0	3.0	0.0	7.0	0.999	3.0	1.0	2.0	4.0	4.0	1.0
ENSG00000167220|HDHD2	534.994	1074.797	917.255	1230.732	320.24800000000005	267.323	701.9990000000001	611.531	717.188	808.481	653.123	942.999	1163.524	998.8829999999999	1150.9460000000004	1325.073	2773.2490000000003	1922.9989999999998
ENSG00000267228|AC012254.2	39.495999999999995	71.6	71.42800000000001	98.52	104.46200000000002	61.008	58.727	73.706	114.951	110.155	123.48400000000001	43.425	84.112	87.82499999999999	94.007	101.743	141.728	58.90600000000001
ENSG00000134049|IER3IP1	425.509	715.602	705.316	892.748	454.289	505.669	390.274	506.764	481.862	589.366	772.394	654.5740000000001	733.364	634.293	716.047	830.185	1447.022	1163.094
ENSG00000215474|SKOR2	5.0	2.0	13.0	9.000000000000002	3.0	1.0	7.0	2.0	5.0	8.0	19.0	20.0	7.0	10.0	12.0	9.0	18.0	15.0
ENSG00000175387|SMAD2	938.238	1661.1870000000001	1593.5159999999998	1881.762	1011.482	955.502	1365.9950000000001	1460.809	1736.545	1571.9299999999998	1466.303	1502.745	1727.278	1853.752	2039.262	2368.0350000000003	3044.451	2322.0510000000004
ENSG00000184828|ZBTB7C	68.0	150.0	111.99900000000002	152.99999999999997	59.0	73.0	96.99900000000001	82.999	84.0	93.0	102.0	87.0	151.0	151.00000000000003	147.001	195.001	301.0	209.001
ENSG00000134030|CTIF	289.9999999999999	522.001	477.0	569.999	359.0	423.001	374.99899999999997	381.999	332.00100000000003	449.0	531.0	493.00100000000003	450.0	507.999	622.999	701.9990000000001	873.0	555.999
ENSG00000101665|SMAD7	506.0	1077.001	896.0	1825.0	814.0	763.0000000000002	2696.0009999999997	2817.0009999999997	2573.0	713.0	683.0	609.0	1175.0	1288.0	1339.9999999999998	3016.0	5437.0	3566.0
ENSG00000141627|DYM	381.99899999999997	803.001	686.0	846.001	277.99999999999994	226.00100000000003	628.0010000000001	567.999	663.0	567.999	428.0	705.0	999.9999999999999	824.0	878.9989999999999	864.0	1540.001	1027.9989999999998
ENSG00000177576|C18orf32	142.974	270.26800000000003	264.488	271.776	91.41699999999997	50.00000000000001	182.90699999999998	185.41500000000002	226.81900000000002	216.11100000000002	146.024	207.22099999999995	256.65	207.27100000000002	281.111	310.163	439.88300000000004	380.572
ENSG00000215472|RPL17-C18orf32	1481.042	2883.772	1954.4099999999999	2822.679	662.129	549.993	1995.325	1586.819	1600.8400000000004	1305.9840000000004	1021.5189999999999	1730.415	3285.008	3315.25	3384.552	2643.695	4444.5599999999995	3012.323
ENSG00000265681|RPL17	13539.984	25406.283999999996	23036.10200000001	28178.543999999998	8791.454000000002	8145.008	13473.766000000003	12929.768	14310.341	12902.905	11178.457000000002	15404.365999999998	19151.341	15997.48	22771.491	22235.142	33352.557	28390.106000000003
ENSG00000101670|LIPG	33.092	82.203	72.042	111.439	36.970000000000006	32.988	77.246	63.043000000000006	63.999	39.059	53.05	47.57	70.00999999999999	57.688	53.998999999999995	71.013	91.007	70.13300000000001
ENSG00000167315|ACAA2	735.274	1539.1340000000002	1450.332	1691.3700000000001	785.998	661.0000000000001	1144.2150000000001	1142.2440000000001	1248.9199999999998	1100.7469999999998	935.0460000000002	1180.0029999999997	1397.6580000000001	1418.0	1602.0900000000001	1535.9859999999999	2479.376	1863.181
ENSG00000266997|AC090227.1	3.988	9.183	11.059	3.713	0.0	0.0	17.221	2.742	0.0	1.778	0.0	0.0	6.74	10.41	8.096	0.0	8.831	0.0
ENSG00000167306|MYO5B	661.5039999999999	1095.1680000000001	1009.589	1275.7559999999999	620.0	678.999	916.564	904.8840000000001	786.0	860.541	789.0	794.0	1036.602	1066.5890000000002	1284.8220000000001	1522.0	1796.4209999999998	1365.0
ENSG00000172361|CFAP53	21.0	36.0	39.0	55.0	38.0	18.0	32.0	41.0	48.0	43.0	40.0	24.0	42.0	44.0	54.0	69.0	119.0	92.0
ENSG00000141644|MBD1	1061.999	1849.0009999999995	1636.0009999999997	2098.001	1125.9990000000003	1356.999	1799.001	1727.9989999999998	1630.0010000000002	1409.999	1443.0010000000002	1336.9989999999998	1763.001	1850.0	2117.0	3074.9990000000007	3927.0	2671.0009999999997
ENSG00000154832|CXXC1	813.0	1366.9999999999998	1292.001	1523.0	936.9999999999998	1096.9999999999998	1337.0	1153.9999999999998	1087.0	1099.0	1242.0	997.999	1387.0000000000002	1601.0	1710.0	2302.0009999999997	2477.002	1870.0
ENSG00000154839|SKA1	270.915	519.46	423.695	598.4599999999999	243.00000000000003	200.006	478.642	408.55	512.409	385.524	287.001	415.075	521.804	491.975	550.472	582.946	1086.583	798.511
ENSG00000141639|MAPK4	134.001	257.999	210.001	279.99999999999994	118.99900000000001	111.0	247.0	211.0	251.00000000000006	191.0	191.99900000000002	220.00099999999998	246.0	221.99900000000002	293.0	400.99899999999997	534.0	347.00100000000003
ENSG00000134042|MRO	3.0	9.591	8.001	7.005	5.0	4.0	4.0	8.0	8.0	15.149	10.0	17.0	6.0	5.008	10.013	5.0	12.99	9.0
ENSG00000082212|ME2	1009.397	2170.9629999999997	1900.967	2334.9919999999997	1014.9999999999999	766.001	1389.9990000000003	1523.112	1566.3700000000001	1837.032	1566.936	1945.8110000000004	2402.4489999999996	1962.94	2427.0009999999997	2575.125	4158.990999999999	3184.976999999999
ENSG00000141642|ELAC1	64.56700000000001	138.766	140.393	180.204	76.89600000000002	67.951	129.557	149.89300000000003	151.076	152.934	139.67200000000003	151.87199999999999	211.963	215.402	236.25499999999994	313.681	426.07	366.34200000000004
ENSG00000267699|AC091551.1	1.785	23.092	10.828	6.73	1.422	10.226	17.465	16.515	29.233	14.027	3.294	11.877	13.755	19.007	13.935	42.668	62.976000000000006	53.54600000000001
ENSG00000141646|SMAD4	619.649	1326.1429999999998	1152.779	1600.0640000000003	630.683	524.824	1243.9769999999999	1247.591	1484.691	1125.0389999999998	905.034	1221.25	1537.282	1430.591	1698.8100000000004	2015.6499999999999	3179.9529999999995	2286.1110000000003
